id,title,authors,price,ratings,num_reviews
1,Not Normal: The First Novel in the Normal Series,Normal Series,0.0,3.4,34
2,Reminders of Him: A Novel,Colleen Hoover,8.13,4.7,168062
3,True Teryn: Sci Fi Adventure of Lilla discovering the greatest secret in the Seven Galaxies (The Last Lumenian Book 2),The Last Lumenian,2.99,4.4,98
4,The Boys from Biloxi: A Legal Thriller,John Grisham,14.99,4.4,14706
5,Mad Honey: A Novel,Jodi Picoult and Jennifer Finney Boylan,14.99,4.5,5688
6,The Nurse's Secret: A Thrilling Historical Novel of the Dark Side of Gilded Age New York City,Amanda Skenandore,9.99,4.3,4355
7,The Voice in All (The Artifex and the Muse Book 1),The Artifex and the Muse,0.0,4.6,5
8,,,16.04,4.5,
9,The Light We Carry: Overcoming in Uncertain Times,Michelle Obama,16.25,4.5,332
10,The Silent Patient,Alex Michaelides,10.99,4.5,140868
11,In Five Years: A Novel,Rebecca Serle,10.03,4.3,37374
12,The Guest List: A Novel,"Lucy Foley, Jot Davies, et al.",0.0,4.2,73110
13,Then She Was Gone: A Novel,Lisa Jewell,8.09,4.5,51466
14,Reminders of Him: A Novel,Colleen Hoover,8.13,4.7,168062
15,The Wife Before: A Spellbinding Psychological Thriller with a Shocking Twist,Shanora Williams,13.56,4.1,944
16,Great Circle: A novel,Maggie Shipstead,14.99,4.4,12515
17,Wish You Were Here: A Novel,Jodi Picoult,10.99,4.3,36280
18,Twenty Years Later: A Riveting New Thriller,Charlie Donlea,14.99,4.5,11133
19,"Friends, Lovers, and the Big Terrible Thing: A Memoir",Matthew Perry and Macmillan Audio,0.0,4.4,4665
20,Lessons in Chemistry: A Novel,Bonnie Garmus,14.99,4.6,57623
21,Long Shadows (Memory Man Series Book 7),Amos Decker,14.99,4.7,12511
22,The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,9.42,4.6,135638
23,The Family Across the Street: A totally unputdownable psychological thriller with a shocking twist,Nicole Trope,9.89,4.3,13653
24,Dreamland: A Novel,Nicholas Sparks,14.0,4.5,8697
25,And There Was Light: Abraham Lincoln and the American Struggle,Jon Meacham,22.99,4.7,256
26,Wish You Were Here: A Novel,Jodi Picoult,10.99,4.3,36280
27,Where the Crawdads Sing,"Delia Owens, Cassandra Campbell, et al.",0.0,4.8,364198
28,"The Greatest Beer Run Ever: A Memoir of Friendship, Loyalty, and War","John ""Chick"" Donohue and J. T. Molloy",14.99,4.6,3587
29,Cloudbuster Nine: The Untold Story of Ted Williams and the Baseball Team That Helped Win World War II,Anne R. Keene,12.96,4.6,1152
30,The Irish Boarding House: Completely heart-warming Irish historical fiction,Sandy Taylor,10.99,4.4,3148
31,The Lost Girls of Willowbrook: A Heartbreaking Novel of Survival Based on True History,Ellen Marie Wiseman,8.21,4.3,1925
32,Never Lie: An addictive psychological thriller,Freida McFadden,0.0,4.4,13908
33,Devoted,Dean Koontz,0.0,4.4,23511
34,Lessons in Chemistry: A Novel,Bonnie Garmus,18.7,4.6,57623
35,Great Circle: A novel,Maggie Shipstead,14.99,4.4,12525
36,Lessons in Chemistry: A Novel,Bonnie Garmus,18.7,4.6,57891
37,The Wife Before: A Spellbinding Psychological Thriller with a Shocking Twist,Shanora Williams,13.56,4.1,951
38,Triple Cross: The Greatest Alex Cross Thriller Since Kiss the Girls,Alex Cross,14.99,4.6,5071
39,Against All Odds: A True Story of Ultimate Courage and Survival in World War II,Alex Kershaw,19.39,4.6,984
40,The New Couple: An absolutely addictive psychological thriller with a shocking twist,Alison James,10.99,4.1,932
41,The Mosquito Bowl: A Game of Life and Death in World War II,Buzz Bissinger,18.49,4.4,346
42,The Dictionary of Lost Words: A Novel,Pip Williams,11.99,4.4,18131
43,The Extraordinary Life of an Ordinary Man: A Memoir,"Paul Newman, David Rosenthal, et al.",24.99,4.4,634
44,"Friends, Lovers, and the Big Terrible Thing: A Memoir",Matthew Perry and Macmillan Audio,0.0,4.4,4764
45,Demon Copperhead: A Novel,Barbara Kingsolver,20.57,4.6,3188
46,"A World of Curiosities: A Novel (Chief Inspector Gamache Novel, 18)",A Chief Inspector Gamache Mystery,20.99,,
47,Long Shadows (Memory Man Series Book 7),Amos Decker,14.99,4.7,12691
48,Spare,Prince Harry The Duke of Sussex,23.12,,
49,The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,9.42,4.6,135735
50,"Tomorrow, and Tomorrow, and Tomorrow: A novel",Gabrielle Zevin,14.69,4.5,7907
51,Horse: A Novel,Geraldine Brooks,22.99,4.6,11663
52,The Asset (Spy Thriller Book 1),Spy Thriller,0.0,4.4,8225
53,No Plan B: A Jack Reacher Novel,Jack Reacher,14.99,4.2,17862
54,The Saints of Swallow Hill: A Fascinating Depression Era Historical Novel,Donna Everhart,9.98,4.3,5428
55,Air Fryer Cookbook: 600 Effortless Air Fryer Recipes for Beginners and Advanced Users,Jenson William,4.99,4.4,37205
56,The Nightingale: A Novel,Kristin Hannah,8.28,4.8,102901
57,The Giver of Stars: A Novel,"Jojo Moyes, Julia Whelan, et al.",0.0,4.6,53942
58,The Wish,"Nicholas Sparks, Mela Lee, et al.",0.0,4.7,36887
59,Verity,Colleen Hoover,11.26,4.6,187450
60,Things We Never Got Over (Knockemout),Knockemout,13.67,4.5,86351
61,Great Circle: A novel,Maggie Shipstead,14.99,4.4,12525
62,Blowback: James Patterson's Best Thriller in Years,James Patterson and Brendan DuBois,14.99,4.5,8578
63,The Paper Palace: A Novel,Miranda Cowley Heller,10.0,4.2,54648
64,The Sweetness of Water (Oprah's Book Club): A Novel,Nathan Harris,10.57,4.4,13271
65,Reminders of Him: A Novel,Colleen Hoover,8.13,4.7,168249
66,Vigil Harbor: A Novel,Julia Glass,19.39,4.0,305
67,Great Circle: A novel,Maggie Shipstead,14.99,4.4,12525
68,Wish You Were Here: A Novel,Jodi Picoult,10.99,4.3,36287
69,Slow Brewing Tea,Randy Loubier,17.99,4.3,206
70,Forever Texas: A Thrilling Western Novel of the American Frontier (A Forever Texas Novel),William W. Johnstone and J.A. Johnstone,9.89,4.2,1088
71,The Asset (Spy Thriller Book 1),Spy Thriller,0.0,4.4,8225
72,All Good People Here: A Novel,"Ashley Flowers, Brittany Pressley, et al.",0.0,4.5,11347
73,Midnight Shadows,Nora Roberts,7.83,4.6,27
74,Summer Cove,Nora Roberts,7.48,4.6,147
75,The Midnight Library: A Novel,Matt Haig,13.29,4.3,204912
76,It's Better This Way: A Novel,Debbie Macomber,6.74,4.5,7515
77,The Whittiers: A Novel,Danielle Steel,14.49,4.6,295
78,Malibu Rising: A Novel,Taylor Jenkins Reid,11.99,4.2,53913
79,The King Arthur Baking School: Lessons and Recipes for Every Baker,King Arthur Baking Company,27.55,4.8,125
80,"Tomorrow, and Tomorrow, and Tomorrow: A novel",Gabrielle Zevin,14.69,4.5,7907
81,I Am Watching You,Teresa Driscoll,7.29,4.4,42144
82,Our Missing Hearts: A Novel,"Celeste Ng, Lucy Liu, et al.",0.0,4.3,4013
83,"Surrender: 40 Songs, One Story",Bono,21.29,4.8,269
84,"Tomorrow, and Tomorrow, and Tomorrow: A novel",Gabrielle Zevin,14.69,4.5,7907
85,Vigil Harbor: A Novel,Julia Glass,19.39,4.0,305
86,The Wish,Nicholas Sparks,11.49,4.7,36888
87,The Last Thing He Told Me: A Novel,"Laura Dave, Rebecca Lowman, et al.",0.0,4.3,117652
88,Great Circle: A novel,Maggie Shipstead,14.99,4.4,12525
89,Lessons in Chemistry: A Novel,Bonnie Garmus,18.7,4.6,57893
90,Forever Texas: A Thrilling Western Novel of the American Frontier (A Forever Texas Novel),William W. Johnstone and J.A. Johnstone,9.89,4.2,1088
91,"The Ultimate Instant Pot Cookbook: 800+ Foolproof, Quick & Flavorful Instant Pot Recipes for Everyday Pressure Cooker",Mabel Lueck,9.99,4.6,517
92,The Summer House,James Patterson and Brendan DuBois,7.49,4.6,11557
93,Fairy Tale,"Stephen King, Seth Numrich, et al.",0.0,4.6,25440
94,The Family Upstairs: A Novel,Lisa Jewell,7.95,4.4,48358
95,1001 Fun Things To Do in Retirement,Mike Bellah,15.39,4.5,242
96,Like a Rolling Stone: A Memoir,Jann S. Wenner,21.49,4.3,689
97,The Girl in the Leaves (Berkley True Crime),"Robert Scott , Sarah Maynard, et al.",9.99,4.3,785
98,Taste of Home Most Requested Recipes: 633 Top-Rated Recipes Our Readers Love!,Editors of Taste of Home,13.99,4.7,971
99,Vacuuming in the Nude: And Other Ways to Get Attention,Peggy Rowe and Mike Rowe,17.79,4.8,1383
100,Confidence Man: The Making of Donald Trump and the Breaking of America,Maggie Haberman and Penguin Audio,0.0,4.4,2559
101,All the Forgivenesses,Elizabeth Hardinger,10.79,4.5,3769
102,The Tree of Knowledge,The Tree of Knowledge,13.93,3.8,1100
103,The Wife Before: A Spellbinding Psychological Thriller with a Shocking Twist,Shanora Williams,13.56,4.1,951
104,Horse: A Novel,Geraldine Brooks,22.99,4.6,11663
105,The Nurse's Secret: A Thrilling Historical Novel of the Dark Side of Gilded Age New York City,Amanda Skenandore,9.99,4.3,4379
106,Livid: A Scarpetta Novel (Kay Scarpetta Book 26),Kay Scarpetta,14.99,4.4,3324
107,"100 Cookies: The Baking Book for Every Kitchen, with Classic Cookies, Novel Treats, Brownies, Bars, and More",Sarah Kieffer,17.89,4.8,3855
108,Local Woman Missing,"Mary Kubica, Brittany Pressley, et al.",0.0,4.4,20622
109,Dad Jokes: Over 600 of the Best (Worst) Jokes Around and Perfect Christmas Gag Gift for All Ages! (World's Best Dad Jokes Collection),Jimmy Niro,5.93,4.7,4479
110,The Asset (Spy Thriller Book 1),Spy Thriller,0.0,4.4,8225
111,A Secret in the Keys (Coconut Key Book 1),Coconut Key,0.0,4.6,4945
112,The Locked Door: A gripping psychological thriller with a jaw-dropping twist,Freida McFadden,0.0,4.4,38577
113,"One Step Too Far: A Novel (A Frankie Elkin Novel, Book 2)",A Frankie Elkin Novel,0.0,4.6,12169
114,"America, a Redemption Story: Choosing Hope, Creating Unity",Senator Tim Scott,23.99,4.8,834
115,The Quarry Girls: A Thriller,Jess Lourey,0.0,4.3,15649
116,So Help Me God,Mike Pence,21.78,4.2,143
117,Battle for the American Mind: Uprooting a Century of Miseducation,Pete Hegseth and David Goodwin,16.5,4.8,5530
118,So Help Me Golf: Why We Love the Game,Rick Reilly,20.99,4.6,509
119,The Dark Hours,Renée Ballard,11.99,4.6,55172
120,The Maid: A Novel,"Nita Prose, Lauren Ambrose, et al.",0.0,4.3,50429
121,The Maze (John Corey Book 8),John Corey,6.99,4.1,6529
122,Invisible: A Novel,Danielle Steel,9.99,4.6,8938
123,The Broker: A Novel,John Grisham,4.75,4.4,9487
124,The Wife Before: A Spellbinding Psychological Thriller with a Shocking Twist,Shanora Williams,13.56,4.1,951
125,Where I Can Breathe,Hays Blinckmann,0.0,4.3,217
126,The Beach House (South Carolina Sunsets Book 1),South Carolina Sunsets,2.99,4.3,21696
127,Super-Easy Air Fryer Cookbook with Pictures: Affordable and Delicious Air Fryer Recipes for Everyone,Lorraine Braxton,13.99,4.9,284
128,"Good Eats: The Final Years (Good Eats, 4)",Good Eats,19.99,4.8,1070
129,Dad Jokes: Over 600 of the Best (Worst) Jokes Around and Perfect Christmas Gag Gift for All Ages! (World's Best Dad Jokes Collection),Jimmy Niro,5.93,4.7,4479
130,Great Circle: A novel,Maggie Shipstead,14.99,4.4,12525
131,The Asset (Spy Thriller Book 1),Spy Thriller,0.0,4.4,8225
132,The Knowledge Seeker: (YA Dystopian Novel),Rae Knightly,14.1,4.6,129
133,"Tesla: Wizard at War: The Genius, the Particle Beam Weapon, and the Pursuit of Power",Marc Seifer,23.99,4.3,30
134,The Second Life of Mirielle West: A Haunting Historical Novel Perfect for Book Clubs,Amanda Skenandore,10.89,4.5,8121
135,The Power of Your Subconscious Mind,"Joseph Murphy, Mark White, et al.",0.0,4.6,62526
136,Think and Grow Rich,Napoleon Hill,0.0,4.7,81773
137,American Psychosis: A Historical Investigation of How the Republican Party Went Crazy,David Corn,16.99,4.7,445
138,Cuba (Winner of the Pulitzer Prize): An American History,Dr. Ada Ferrer,17.99,4.6,891
139,"Life Skills for Tweens: How to Cook, Make Friends, Be Self Confident and Healthy. Everything a Pre Teen Should Know to Be a Brilliant Teenager (Essential Life Skills for Teens)",Essential Life Skills for Teens,11.89,4.6,118
140,The High Notes: A Novel,Danielle Steel,14.99,4.6,3355
141,Watching You: A Novel,Lisa Jewell,8.99,4.4,13958
142,"101 Thai Dishes You Need to Cook Before You Die: The Essential Recipes, Techniques and Ingredients of Thailand",Jet Tila and Tad Weyland Fukomoto,14.99,4.7,1111
143,"Come On, Man!: The Truth About Joe Biden's Terrible, Horrible, No-Good, Very Bad Presidency",Joe Concha,20.49,4.6,678
144,Lessons in Chemistry: A Novel,Bonnie Garmus,18.7,4.6,57893
145,The Wife Before: A Spellbinding Psychological Thriller with a Shocking Twist,Shanora Williams,13.56,4.1,951
146,Horse: A Novel,Geraldine Brooks,22.99,4.6,11663
147,The Stay At Home Chef Family Favorites Cookbook,Rachel Farnsworth,24.39,4.9,753
148,The Asset (Spy Thriller Book 1),Spy Thriller,0.0,4.4,8225
149,Great Circle: A novel,Maggie Shipstead,14.99,4.4,12525
150,Lessons in Chemistry: A Novel,Bonnie Garmus,18.7,4.6,57893
151,An Elephant in the Garden: Inspired by a True Story,Michael Morpurgo,7.99,4.7,2536
152,Snowed in for Christmas,Sarah Morgan,13.12,4.6,847
153,The Hotel Nantucket,Elin Hilderbrand,14.99,4.4,23665
154,Racing the Light (An Elvis Cole and Joe Pike Novel Book 19),Elvis Cole and Joe Pike,14.99,4.5,4367
155,Regretting You,Colleen Hoover,8.97,4.8,10937
156,An Imperfect Plan: A Novel,Addison McKnight,0.0,4.3,887
157,The Night She Disappeared: A Novel,"Lisa Jewell, Joanne Froggatt, et al.",0.0,4.4,40645
158,The Keeper of Happy Endings,Barbara Davis,0.0,4.6,71526
159,"Invisible Child: Poverty, Survival & Hope in an American City (Pulitzer Prize Winner)",Andrea Elliott,15.99,4.7,1763
160,"Dear Girl: You are Amazing: Inspiring Stories about Courage, Inner Strength, and Self-Confidence",Emily Green,11.9,4.8,132
161,"Simple Air Fryer Cookbook with Pictures: Easy Recipes for Beginners with Tips & Tricks to Fry, Grill, Roast, and Bake | Your Everyday Air Fryer Book",Cecily Goodwin,17.09,4.3,2143
162,Elsewhere,Dean Koontz,0.0,4.5,15453
163,The Wife Before: A Spellbinding Psychological Thriller with a Shocking Twist,Shanora Williams,13.56,4.1,951
164,Horse: A Novel,Geraldine Brooks,22.99,4.6,11663
165,The Nurse's Secret: A Thrilling Historical Novel of the Dark Side of Gilded Age New York City,Amanda Skenandore,9.99,4.3,4379
166,The Year's Best Sports Writing 2022,Glenn Stout and J.A. Adande,19.95,4.1,7
167,The Next Best Day,Sharon Sala,6.4,4.7,529
168,The Best American Essays 2022,Alexander Chee and Robert Atwan,16.19,5.0,8
169,The Baseball 100,Joe Posnanski,24.49,4.8,1537
170,The Complete Air Fryer Cookbook: 1000 Recipes For Quick & Easy Air Fried Homemade Meals,Olivia Miller,12.9,4.4,1723
171,Happy-Go-Lucky,"David Sedaris and Little, Brown & Company",0.0,4.6,4169
172,Carnegie's Maid: A Novel,Marie Benedict,7.57,4.4,15224
173,Summer Island: A Novel,Kristin Hannah,8.99,4.4,14170
174,A Quiet Retreat,Kiersten Modglin,0.0,4.3,1152
175,Hidden Pictures: A Novel,Jason Rekulak,14.99,4.5,7663
176,"How to Make Anything Gluten-Free: Over 100 recipes for everything from home comforts to fakeaways, cakes to dessert, brunch to bread!",Becky Excell,21.99,4.7,6110
177,The Last Flight: A Novel,Julie Clark,3.99,4.4,27850
178,The Asset (Spy Thriller Book 1),Spy Thriller,0.0,4.4,8225
179,"On the Bank of the Chippewa: An evocative, midwestern family saga","Steven Lomske , Renee Pulve, et al.",0.0,4.3,41
180,Great Circle: A novel,Maggie Shipstead,14.99,4.4,12525
181,The Dark Hours,Renée Ballard,11.99,4.6,55172
182,"The White Rose Network: Based on a true story, an unputdownable and utterly heartbreaking World War 2 page-turner",Ellie Midwood,10.99,4.4,2572
183,"Dear Girl: You are Amazing: Inspiring Stories about Courage, Inner Strength, and Self-Confidence",Emily Green,11.9,4.8,132
184,The Best of Friends,"Lucinda Berry, Amy Rubinate, et al.",0.0,4.3,21362
185,Daily Wisdom for Women 2023 Devotional Collection,Barbour Publishing,14.44,4.9,20
186,When It Falls Apart (The D'Angelos Book 1),The D'Angelos,0.0,4.5,10343
187,Starry Messenger: Cosmic Perspectives on Civilization,Neil deGrasse Tyson,18.04,4.7,1172
188,My Travels with Mrs. Kennedy,Clint Hill and Lisa McCubbin Hill,22.23,4.7,239
189,The Singing Trees: A Novel,Boo Walker,0.0,4.4,25363
190,It Ends with Us: A Novel (1),It Ends with Us,9.99,4.7,194266
191,47 Days: The True Story of Two Teen Boys Defying Hitler's Reich,Annette Oppenlander,5.49,4.5,744
192,The Asset (Spy Thriller Book 1),Spy Thriller,0.0,4.4,8225
193,"On the Bank of the Chippewa: An evocative, midwestern family saga","Steven Lomske , Renee Pulve, et al.",0.0,4.3,41
194,Dad Jokes: Over 600 of the Best (Worst) Jokes Around and Perfect Christmas Gag Gift for All Ages! (World's Best Dad Jokes Collection),Jimmy Niro,5.93,4.7,4479
195,Overkill,Sandra Brown,14.99,4.5,5437
196,THE REMNANT SCRIBE (JOURNEYS OF THE REMNANT Book 1),JOURNEYS OF THE REMNANT,0.99,4.6,80
197,Forever Texas: A Thrilling Western Novel of the American Frontier (A Forever Texas Novel),William W. Johnstone and J.A. Johnstone,9.89,4.2,1088
198,Temptation (The Hunted Series Book 1),The Hunted Series,0.0,4.2,14944
199,The Everything Gluten-Free & Dairy-Free Cookbook: 300 Simple and Satisfying Recipes without Gluten or Dairy,Audrey Roberts,12.99,4.7,3458
200,The Best American Science And Nature Writing 2022,Ayana Elizabeth Johnson and Jaime Green,16.19,4.5,4
201,"Keto Air Fryer Cookbook: 1000 Quick & Flavorful Low-Carb Recipes to Air Fry, Bake, Grill and Roast for Boosting Energy and Keeping Healthy (2022 Edition)",Sara S. Nelson,12.99,4.4,229
202,Deconstructed: A Novel (A Cricket Crosby Caper Book 1),A Cricket Cros,0.0,4.4,11660
203,Wrong Place Wrong Time: A Novel,"Gillian McAllister, Lesley Sharp, et al.",0.0,4.3,11207
204,The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre,12.99,4.7,17492
205,Sooley: A Novel,John Grisham,6.68,4.5,40382
206,Bibi: My Story,Benjamin Netanyahu,21.94,4.9,473
207,The Best American Mystery and Suspense 2022,Jess Walter and Steph Cha,16.19,4.1,10
208,Zero Fail: The Rise and Fall of the Secret Service,Carol Leonnig,12.72,4.6,6872
209,The Return,"Nicholas Sparks, Kyf Brewer, et al.",0.0,4.6,40768
210,Flying Angels: A Novel,Danielle Steel,7.05,4.6,10396
211,Vigil Harbor: A Novel,Julia Glass,19.39,4.0,305
212,"Tomorrow, and Tomorrow, and Tomorrow: A novel",Gabrielle Zevin,14.69,4.5,7907
213,Groundskeeping: A novel,Lee Cole,13.99,3.9,1030
214,Dark Angel,Letty Davenport,14.99,,
215,"Golf's Life Lessons: 55 Inspirational Tales about Jack Nicklaus, Ben Hogan, Bobby Jones, and Others",Richard Allen and Peter Thomson,17.79,4.6,98
216,Loyalty,Lisa Scottoline,14.99,,
217,"GIRLS ARE FANTASTIC!: A Collection of Short Stories for Girls about Strength, Love and Self-Awareness - Present for Girls",Amber A. Adams,11.9,4.8,68
218,Half Baked Harvest Cookbook: Recipes from My Barn in the Mountains,Tieghan Gerard,16.89,4.8,6773
219,Home Front: A Novel,Kristin Hannah,0.0,4.6,16899
220,The 7 She Saw (Blake Wilder FBI Mystery Thriller Book 1),Blake Wilder FBI Mystery Thriller,0.0,4.4,6882
221,Magnolia Table,Magnolia Table,16.59,4.8,32834
222,Code Talker: The First and Only Memoir By One of the Original Navajo Code Talkers of WWII,Chester Nez and Judith Schiess Avila,13.94,4.7,2901
223,When You Trap a Tiger: (Winner of the 2021 Newbery Medal),Tae Keller,8.59,4.7,2019
224,Small Batch Baking: 60 Sweet and Savory Recipes to Satisfy Your Craving,Saura Kline,0.0,4.5,1268
225,The Power of Your Subconscious Mind,"Joseph Murphy, Mark White, et al.",0.0,4.6,62526
226,"Fallen Hopes, Taken Dreams",J. M. Barlog,15.99,4.4,25
227,The Ambassador's Wife (THE INSPECTOR SAMUEL TAY NOVELS),Jake Needham,17.99,4.3,1225
228,The Family Across the Street: A totally unputdownable psychological thriller with a shocking twist,Nicole Trope,3.99,4.3,13664
229,,,0.0,4.4,
